,ell_over_L,t_turb_over_t_relax,t_turb_over_t_relax_std
1,0.000396825586,1.180747315481075,0.03482097510706815
2,0.000793651172,1.207056964635465,0.03560927192859839
3,0.00119047676,1.2328961496184823,0.03211833197970277
4,0.00158730234,1.2515739441571048,0.030416240897182062
5,0.00198412793,1.2704524479386685,0.03454682713373244
6,0.00238095352,1.2819240257868214,0.031427739221113714
7,0.0027777791,1.293553571562175,0.03088888229756375
8,0.00317460469,1.3026749873447816,0.03165594280602323
9,0.00357143027,1.3085655180436917,0.03136288355230497
10,0.00396825586,1.3129632599674412,0.03098148671708127
11,0.00436508145,1.318845492577444,0.03207076737154399
12,0.00476190703,1.322938414695026,0.031004885752642385
13,0.00515873262,1.3256624286442382,0.031753164591027
14,0.0055555582,1.3295690875556574,0.03143279920413923
15,0.00595238379,1.3319876948600249,0.0320718196649977
16,0.00634920938,1.33428631103931,0.032267816846609
17,0.00674603496,1.3358340609840247,0.032502471514835214
18,0.00714286055,1.3373852864088853,0.03263940579364965
19,0.00753968613,1.3382989846773319,0.032322926238863105
20,0.00793651172,1.3388733776569104,0.032857292358420755
21,0.00833333731,1.339292532940247,0.032497021297464325
22,0.00873016289,1.339124744301892,0.03218469720480176
23,0.00912698848,1.3391730465170466,0.032413022955017204
24,0.00952381407,1.3388398065243527,0.03298664291482397
25,0.00992063965,1.3385427003381203,0.03313815881655455
26,0.0103174652,1.3375820440894386,0.03287236350444074
27,0.0107142908,1.3372035846023893,0.033215211713456864
28,0.0111111164,1.3362694188796023,0.03287997011411123
29,0.011507942,1.3354064145378886,0.033134454456421346
30,0.0119047676,1.3343406807841844,0.03308569287831045
31,0.0123015932,1.332943040794618,0.0336021055945548
32,0.0126984188,1.3317378068547785,0.033578532383967935
33,0.0130952443,1.3304519650453637,0.033817400441369466
34,0.0134920699,1.328547933777538,0.033572354737581384
35,0.0138888955,1.3271220074370804,0.03398609409620623
36,0.0142857211,1.3252498103928312,0.034319133544136994
37,0.0146825467,1.3240512311572203,0.034283926565207797
38,0.0150793723,1.3217042889628932,0.03434757513120052
39,0.0154761979,1.3202339457251444,0.03447077734572228
40,0.0158730234,1.3184454849798093,0.03463796927998309
41,0.016269849,1.3164464343995175,0.034980889698372146
42,0.0166666746,1.3144148928250696,0.034963620965960694
43,0.0170635002,1.3126532191423974,0.0350868680569186
44,0.0174603258,1.3106124344474215,0.035158045572810846
45,0.0178571514,1.308282708606541,0.03528425554366095
46,0.018253977,1.3060762708515652,0.035382794652786716
47,0.0186508025,1.3039856134311922,0.03563159039062077
48,0.0190476281,1.3018589467921675,0.0359476967786278
49,0.0194444537,1.2996799729641366,0.03576841098272724
50,0.0198412793,1.2974040177823887,0.03585258279351358
51,0.0202381049,1.2952623016327656,0.03611508737945745
52,0.0206349305,1.2929705178668611,0.03616273399456304
53,0.0210317561,1.290838959563261,0.036162380936903646
54,0.0214285816,1.288379843632393,0.036210472824528106
55,0.0218254072,1.2862230279179283,0.03633582663371965
56,0.0222222328,1.2838183812316732,0.036525588090201073
57,0.0226190584,1.281428781878949,0.03671233445151192
58,0.023015884,1.2790083521088285,0.03660689486925773
59,0.0234127096,1.2767437330865539,0.03666458172906288
60,0.0238095352,1.2742640783902077,0.0369444919176098
61,0.0242063607,1.2718247815119637,0.03702686904083106
62,0.0246031863,1.2694474962122178,0.03713773505261546
63,0.0250000119,1.2671457613177137,0.036888887887258505
64,0.0253968375,1.2648604578129805,0.03719394404698706
65,0.0257936631,1.2625129279194065,0.03722709996392034
66,0.0261904887,1.260153363180309,0.03749128721897087
67,0.0265873143,1.2578163059433043,0.03758467974642194
68,0.0269841399,1.2552513647098271,0.03747879024806585
69,0.0273809654,1.252757190861272,0.037770730008812814
70,0.027777791,1.2503373684842058,0.037623569499212806
71,0.0281746166,1.2480748789494944,0.03790028340992279
72,0.0285714422,1.2455158583559705,0.03794405697667034
73,0.0289682678,1.2431630421332815,0.03806090110130223
74,0.0293650934,1.240734567629082,0.03823174288190681
75,0.029761919,1.2383798592232462,0.03834675296013397
76,0.0301587445,1.2360317625315649,0.038366591333516296
77,0.0305555701,1.2336460223077177,0.03839068555317001
78,0.0309523957,1.2312363209624224,0.038497758970128186
79,0.0313492213,1.228812514923014,0.038431297835758466
80,0.0317460469,1.2266080797410306,0.03858871736704989
81,0.0321428725,1.2239700556306252,0.038663054894239095
82,0.0325396981,1.2216570765655748,0.038710496209716054
83,0.0329365236,1.2192838967978297,0.038832621820869336
84,0.0333333492,1.2169315763533928,0.038900940952528947
85,0.0337301748,1.2146312618796533,0.03896649772669582
86,0.0341270004,1.2122291978906876,0.03910177226799262
87,0.034523826,1.2099481206487723,0.03910844639542927
88,0.0349206516,1.207654495894401,0.039232083180270626
89,0.0353174772,1.2053244071646192,0.03915831202657938
90,0.0357143027,1.203079461857144,0.03919944542033704
91,0.0361111283,1.200742648426379,0.03925981960770789
92,0.0365079539,1.19849079227933,0.0393054678425235
93,0.0369047795,1.196177157861203,0.039413075346627885
94,0.0373016051,1.1939154533410932,0.03943912178271036
95,0.0376984307,1.1915942248267548,0.03956405149899971
96,0.0380952563,1.1893514998426933,0.03963784568939949
97,0.0384920818,1.1872320101015257,0.03976239565017227
98,0.0388889074,1.1848092570510895,0.03975339212028588
99,0.039285733,1.1827066601688776,0.03983881258111126
100,0.0396825586,1.1806560361316785,0.039857359493563026
101,0.0400793842,1.1783040414535506,0.03992832228684604
102,0.0404762098,1.1760358422959007,0.03993568175229974
103,0.0408730354,1.1738269122019207,0.04000330834143716
