,theta_vb,theta_bj,theta_wv,pdf_vb,pdf_bj,pdf_wv,pdf_vb_std,pdf_bj_std,pdf_wv_std
0,3.041550939978253,3.041550939978253,3.041550939978253,0.788136018,7.980949825,0.6067443775,0.11032506599999992,0.21537704999999985,0.004975849000000032
1,2.968170332494189,2.968170332494189,2.968170332494189,0.7745768975,4.36999711,0.6030326785,0.10600379900000001,0.09079432000000054,0.004582929000000013
2,2.917517368287974,2.917517368287974,2.917517368287974,0.7627276485,3.0641329649999998,0.599348134,0.10727987100000003,0.04894367000000033,0.004194213999999974
3,2.8762397039921432,2.8762397039921432,2.8762397039921432,0.750668193,2.3613741800000003,0.595623181,0.10575650000000003,0.027812640000000055,0.0037883839999999225
4,2.8404561080364212,2.8404561080364212,2.8404561080364212,0.7378373235,1.9194236550000001,0.5920427104999999,0.10270971100000004,0.01674785000000001,0.003550940999999974
5,2.8083909295692426,2.8083909295692426,2.8083909295692426,0.7250964895,1.615118775,0.588493093,0.09921308699999998,0.009663670000000124,0.0029998639999999632
6,2.7790553913018194,2.7790553913018194,2.7790553913018194,0.7125868559999999,1.39313811,0.5850531210000001,0.09561813199999991,0.0055355000000001375,0.002807912000000079
7,2.7518319207923185,2.7518319207923185,2.7518319207923185,0.7004391175,1.22381917,0.581733595,0.091973211,0.0025278200000000695,0.002439843999999969
8,2.7263042474847032,2.7263042474847032,2.7263042474847032,0.6891857545,1.090535885,0.578415197,0.08902733299999999,0.00016871000000007186,0.002068031999999942
9,2.70217604813352,2.70217604813352,2.70217604813352,0.6781111645,0.9830157134999999,0.5751863724999999,0.08630743699999999,0.0012184869999999348,0.0014597589999999494
10,2.679227529570366,2.679227529570366,2.679227529570366,0.6680457845000001,0.8944432765,0.5720171185,0.08424673100000002,0.0021618549999999903,0.001270156999999994
11,2.6572903378438735,2.6572903378438735,2.6572903378438735,0.658406965,0.8203813325,0.568844793,0.08256976999999999,0.0029511829999999684,0.001081560000000037
12,2.636232143305636,2.636232143305636,2.636232143305636,0.6489907005,0.7574317104999999,0.565882806,0.08081633099999996,0.003472711000000017,0.0010937460000000065
13,2.6159466984554296,2.6159466984554296,2.6159466984554296,0.6401201275,0.703459201,0.5628925495,0.07944798099999995,0.00401305399999996,0.0007206529999999045
14,2.596347166371165,2.596347166371165,2.596347166371165,0.631446795,0.656534576,0.560031,0.0778756519999999,0.004107480000000052,0.0006943579999999505
15,2.5773614938622114,2.5773614938622114,2.5773614938622114,0.6231644765,0.61558388,0.5571746395,0.07623203499999998,0.00446120800000005,0.0006788790000000766
16,2.5589291120504782,2.5589291120504782,2.5589291120504782,0.6149380265,0.5794053640000001,0.55431758,0.074840727,0.004741761999999983,0.00033016399999996615
17,2.540998526723742,2.540998526723742,2.540998526723742,0.6071194245,0.547298259,0.5515923045,0.07303051100000002,0.004843386000000005,0.00040996100000001423
18,2.5235255217345784,2.5235255217345784,2.5235255217345784,0.599332807,0.518617805,0.54905067,0.071031238,0.004807886000000039,0.00013312600000003894
19,2.5064717950067505,2.5064717950067505,2.5064717950067505,0.591744646,0.4927797275,0.5464737605000001,0.06904358600000005,0.004873375000000013,6.894899999998483e-05
20,2.4898039062966726,2.4898039062966726,2.4898039062966726,0.584609434,0.4695653695,0.5439465575,0.06724325600000003,0.004828433000000021,0.00012538299999997893
21,2.473492453832716,2.473492453832716,2.473492453832716,0.5777537264999999,0.44839286,0.5415304025000001,0.065733771,0.004799514000000005,8.962099999998419e-05
22,2.457511421794464,2.457511421794464,2.457511421794464,0.5712202824999999,0.42912912049999996,0.5390775385,0.06423984500000002,0.004890640999999973,2.3357000000001626e-05
23,2.4418376572209013,2.4418376572209013,2.4418376572209013,0.5649771125,0.41164800349999997,0.5367750835,0.06286352900000003,0.004891122999999997,0.00020051300000001326
24,2.4264504462987726,2.4264504462987726,2.4264504462987726,0.5588743844999999,0.3955356545,0.5344874390000001,0.06133165499999993,0.0047245970000000526,1.4510000000078627e-05
25,2.411331167892828,2.411331167892828,2.411331167892828,0.553056416,0.380648597,0.5322318285000001,0.059956013999999946,0.004803170000000023,0.0001361430000000885
26,2.39646300778072,2.39646300778072,2.39646300778072,0.5474231464999999,0.3669776555,0.530121266,0.058327189,0.004657797000000019,0.0003125159999999294
27,2.381830721082478,2.381830721082478,2.381830721082478,0.5421039805000001,0.35439879350000003,0.527973054,0.05679818300000006,0.004697297000000045,0.00022444000000010345
28,2.367420433310938,2.367420433310938,2.367420433310938,0.5369813435,0.3425922735,0.525968328,0.05535257900000001,0.004486154999999992,0.00028262199999995463
29,2.3532194726383255,2.3532194726383255,2.3532194726383255,0.5321332765,0.331727153,0.5239253585,0.054074701,0.004418711999999991,0.0005764729999999663
30,2.3392162275952737,2.3392162275952737,2.3392162275952737,0.5277079615,0.3215491185,0.522062296,0.05277995099999999,0.004482387000000032,0.0004321499999999645
31,2.3254000256434346,2.3254000256434346,2.3254000256434346,0.523213194,0.312117466,0.5201242605,0.051657124000000054,0.004445937999999983,0.0004310630000000648
32,2.3117610289979167,2.3117610289979167,2.3117610289979167,0.518865308,0.3031738565,0.518204662,0.05030604599999999,0.004469009000000024,0.0004990820000000395
33,2.2982901447963116,2.2982901447963116,2.2982901447963116,0.51463719,0.294933102,0.516359515,0.049184894000000035,0.0043755639999999985,0.0006016500000000091
34,2.2849789472712154,2.2849789472712154,2.2849789472712154,0.510626381,0.287156214,0.514570526,0.04803560999999995,0.004346987999999996,0.0005764539999999485
