,ell_over_L,theta_vb,theta_vb_std,theta_jb,theta_jb_std,theta_wv,theta_wv_std
0,0.0,0.3201209009425713,0.011488708230203148,0.36959333823428087,0.02058364213363699,0.49533152582989226,0.004637264900774624
1,0.000396825586,0.32751406097129465,0.002763467636038955,0.3781677528847069,0.002432097588264521,0.4790383411792181,0.0011148948536386372
2,0.000793651172,0.34038558772465183,0.00157603442198682,0.37866320545073046,0.0062172036066081675,0.4882959005221265,0.0022839557677262756
3,0.00119047676,0.35239674577638785,0.0023391241988936213,0.3792689281602806,0.0018633425909343473,0.4976518758188705,0.0019963779938821646
4,0.00158730234,0.3666483560011095,0.0024707018250779856,0.3837883603810998,0.002849636140610179,0.5119229437086865,0.0004939660408738167
5,0.00198412793,0.3782730687277143,0.003458818086473514,0.3792350802224265,0.0016340803823617705,0.5193296092160706,0.001361695401101426
6,0.00238095352,0.3886837702265293,0.0032652677109915513,0.37679563222665163,0.0022981234467436534,0.5271897589212078,0.0006184274882370389
7,0.0027777791,0.39655812806189195,0.003959235633125644,0.37467309979264796,0.0015271856999392653,0.5322274426458177,0.0007432883927419587
8,0.00317460469,0.4046765248888204,0.0034435170629507294,0.37466948831031194,0.0003696128588462916,0.5365243344300947,3.995496704767287e-06
9,0.00357143027,0.4122463042194251,0.004404061386798988,0.3727779844341075,0.0008343327545324899,0.5405650921343039,0.0003880805930416287
10,0.00396825586,0.41849888565932014,0.004036925559659742,0.3718779748516619,0.0003180710044932613,0.5436329576345809,0.000749403518808256
11,0.00436508145,0.4240681246603435,0.0036577953456546847,0.37147456754956076,0.00026542082320096545,0.5469714108259334,0.00021686801690662394
12,0.00476190703,0.42959558574074946,0.0038675272025522752,0.3696191572214147,0.0011046533413106702,0.5495982884240569,0.0001377498750890216
13,0.00515873262,0.4343673353945315,0.004367094242931721,0.36926419589712295,0.0005019536937238706,0.5519498611561182,6.622640522396805e-05
14,0.0055555582,0.43898948599876314,0.004479133072410001,0.3677976764524149,0.0010422530894274497,0.5543106803299155,0.00022044563775336368
15,0.00595238379,0.44354860194358076,0.004456554925678969,0.36653217113957043,0.0008779230706086917,0.5559098456042104,0.00032850421117158746
16,0.00634920938,0.4474991014712267,0.004570826674100092,0.36617500260713715,0.0004901526780055792,0.5581745893257772,0.00015906965644058024
17,0.00674603496,0.4518362449693125,0.004355033874101893,0.3651525227955987,0.0006973113261021351,0.5599381507411907,0.0002749913672221993
18,0.00714286055,0.455136016769253,0.004595099010728439,0.3643042937483411,0.0006081998678969271,0.5617058056089226,0.0004821526165351142
19,0.00753968613,0.4584891627129042,0.004536452711509516,0.36348756393572595,0.0005391864445210715,0.5630414193816944,0.00017851367018134612
20,0.00793651172,0.46202410615581996,0.004560417727449453,0.3626199488942056,0.0009980625485937122,0.5654623895721768,8.295238490885204e-06
21,0.00833333731,0.4650655054279453,0.004554309397961245,0.3623129044388323,0.0006726377081882447,0.5662397050957109,0.00012756366163391153
22,0.00873016289,0.46811560832155213,0.0047711836716695126,0.36160704650940795,0.0010197553567709648,0.5677340367028998,0.00016472449824972424
23,0.00912698848,0.47114036075714233,0.004749854337263954,0.3612894777782047,0.0009794876393709072,0.5693943755158691,0.0003491480569570715
24,0.00952381407,0.47345210555371836,0.004579902596657018,0.3608248779007755,0.0011077446197335626,0.5702914564896333,0.00035516057020440467
25,0.00992063965,0.47655863519581215,0.004646664237952872,0.3605419746724045,0.0010915446128112003,0.5718092675440263,0.0001909171340704341
26,0.0103174652,0.47870742395989135,0.0045817749849366585,0.35988550071989134,0.0008344282512422426,0.5728400776697093,0.00017351205693239002
27,0.0107142908,0.4814042432073256,0.004465451557710496,0.359814726216443,0.0007736370494212327,0.5737347234278958,0.0003296625753234639
28,0.0111111164,0.48356424727507347,0.004635825277558488,0.3589571213866347,0.0009377589055010686,0.5751806073530321,3.36193982380939e-06
29,0.011507942,0.4858315836665559,0.004440588357628006,0.35896053245085896,0.0008701927201879963,0.5759367734958367,0.00027435941204323466
30,0.0119047676,0.4880199873523927,0.004442653542956103,0.3586397252516436,0.0006728253016106644,0.5769606485587744,0.00026546397638776975
31,0.0123015932,0.4901034446184728,0.004475728752987014,0.3583649098936013,0.0008357980327111795,0.5775590921498144,4.076708524147765e-06
32,0.0126984188,0.49194546355245516,0.004611753482681765,0.3580955811993971,0.0009072370603598848,0.5788584661534806,5.2219801547293e-05
33,0.0130952443,0.49407772181657394,0.004541399264720145,0.3582160677309347,0.0007686322956777338,0.5796822322540156,5.930599034414952e-05
34,0.0134920699,0.4958750250638202,0.004453749514433999,0.3578041766848566,0.0007902438594286821,0.5806866605320066,3.7326390645020524e-07
35,0.0138888955,0.4976270879836184,0.004566270288014347,0.3576793567933125,0.0008372010477580383,0.5813860586111048,1.0350018593285881e-05
36,0.0142857211,0.49936423718460055,0.004540664546881552,0.35729942815658194,0.0006860287006900005,0.5822362867581443,2.5648743865402945e-05
37,0.0146825467,0.5009432252041285,0.004505359442733095,0.3571615325211308,0.0007565608038011432,0.5831782711950617,0.00010421621623096788
38,0.0150793723,0.5027713719406594,0.00453779863976047,0.35725085653519306,0.0005006111335066893,0.5837672153811827,9.455287347137631e-05
39,0.0154761979,0.5041908615621393,0.004434867770644602,0.35708341593177756,0.0007221195895892945,0.5844391529344717,0.0002816093911321982
40,0.0158730234,0.5058407413815159,0.004482930122566822,0.35695290763524157,0.0008230276014492865,0.5852123278648563,0.00020438498789454584
41,0.016269849,0.5071357892732277,0.00440312935557883,0.3569222913598798,0.0006521228631696678,0.5859064659021942,0.00012612839764197803
