,l_perp,l_par,l_par_std
0,0.0,0.0013294591081467392,4.5159218271387746e-05
1,0.000396825586,0.0022612732460609323,1.0300891005189314e-05
2,0.000793651172,0.0034658954391015746,9.159105847074715e-06
3,0.00119047676,0.00458055047602381,7.566716602416422e-05
4,0.00158730234,0.005367441877457728,2.1212933670839047e-05
5,0.00198412793,0.006373285145245182,3.230346622103402e-05
6,0.00238095352,0.0071879177297706365,2.0298443470713034e-05
7,0.0027777791,0.008045847451251503,2.0856817656663383e-05
8,0.00317460469,0.008908722601529542,0.00013061893392155802
9,0.00357143027,0.009549379594473464,7.280925861489172e-06
10,0.00396825586,0.010342747283905964,3.824444410567389e-05
11,0.00436508145,0.01115724511567104,5.4284606268190094e-05
12,0.00476190703,0.011739035037474518,8.889362375054822e-05
13,0.00515873262,0.012524335543942786,0.00021184833010243903
14,0.0055555582,0.013100868796574308,0.00014014024932889214
15,0.00595238379,0.01389427488867262,0.00014166263561930272
16,0.00634920938,0.014510650804537674,0.00021716149913277027
17,0.00674603496,0.015264494995075489,0.00017952986228352702
18,0.00714286055,0.015860783617108926,9.78452865976788e-05
19,0.00753968613,0.016580488096246883,0.00013228263621936978
20,0.00793651172,0.017224557275225448,0.00012950520894457022
21,0.00833333731,0.01790964797596939,0.00012589433219249192
22,0.00873016289,0.018560487365950548,0.00019894799270644102
23,0.00912698848,0.019216263121823538,0.00013723924863557127
24,0.00952381407,0.019768717904410402,0.0002419580571908636
25,0.00992063965,0.020452815318146,0.0002745975974702865
26,0.0103174652,0.02098191267508693,0.0002354258126554213
27,0.0107142908,0.021658949813183566,0.00025950652532852857
28,0.0111111164,0.022381298010410097,0.0002993517421413256
29,0.011507942,0.02298295910213123,0.0002581556736106251
30,0.0119047676,0.023679813125772997,0.00026356391597048313
31,0.0123015932,0.024248808611638667,0.00018831427537880328
32,0.0126984188,0.024974592842879444,0.0002721162052118885
33,0.0130952443,0.025494763543314813,0.0002531325195537608
34,0.0134920699,0.026053076300032493,0.0003203856179657544
35,0.0138888955,0.02668467756956475,0.0003081539679151944
36,0.0142857211,0.0273466370042545,0.00027145769226732085
37,0.0146825467,0.027987427034085667,0.0003357184849102756
38,0.0150793723,0.028569023915519503,0.0003266071993369181
39,0.0154761979,0.02923565697175155,0.0002457094775598183
40,0.0158730234,0.029833241819699756,0.00037750786928367024
41,0.016269849,0.030364674281176708,0.0003841451553313856
42,0.0166666746,0.030972982056979168,0.00028795706442450754
43,0.0170635002,0.031527424362468304,0.00044956243771741844
44,0.0174603258,0.03214156580153202,0.0004497327266995421
45,0.0178571514,0.03285291747688483,0.00040547491087266144
46,0.018253977,0.03337809059252918,0.00047399342914655057
47,0.0186508025,0.03400529255059364,0.0004767985444404377
48,0.0190476281,0.0345473651156272,0.00046270903579643044
49,0.0194444537,0.035157488927796146,0.00043919541666356116
50,0.0198412793,0.03573255120830691,0.00047150897057617047
51,0.0202381049,0.03634479556798115,0.00045026294706426717
52,0.0206349305,0.036852656168805606,0.00047555391895872864
53,0.0210317561,0.03745230379675295,0.000610226334898524
54,0.0214285816,0.03810034727092144,0.0004970492847927097
55,0.0218254072,0.03868290664014279,0.0005407031232277336
56,0.0222222328,0.039301097517086755,0.0005753961369362078
57,0.0226190584,0.039886768036271586,0.0005469536697898757
58,0.023015884,0.04037154189567948,0.0005756078301506068
59,0.0234127096,0.04089272842015791,0.0006317020641522265
60,0.0238095352,0.0414617957681119,0.000681699300607054
61,0.0242063607,0.04214419549232695,0.0006029377786191774
62,0.0246031863,0.04269567182454728,0.0006465354403774881
63,0.0250000119,0.043486884628241324,0.0004241154305765077
64,0.0253968375,0.043755919044555204,0.0007078500870733306
65,0.0257936631,0.04439824781856156,0.000650815000480795
66,0.0261904887,0.04495285480873812,0.0007643679693807165
67,0.0265873143,0.045439947691149514,0.000773717404737452
68,0.0269841399,0.04609716646779102,0.0007016137074482877
69,0.0273809654,0.04655210792748685,0.0007373917801409453
70,0.027777791,0.04714990921149942,0.0007272505861651568
71,0.0281746166,0.04770169088592978,0.000771451448957728
72,0.0285714422,0.04831599040230327,0.0007455688081527967
73,0.0289682678,0.04885732990454408,0.0007204811495615769
74,0.0293650934,0.04944663474807826,0.0008602580490616879
75,0.029761919,0.04993293640739964,0.0008586661224593214
76,0.0301587445,0.05055887833842101,0.0008467693007273569
77,0.0305555701,0.051072700325640256,0.000831847256942915
78,0.0309523957,0.05167448047433909,0.0008150585717673874
79,0.0313492213,0.0521171264012742,0.000860456799731471
80,0.0317460469,0.05279432646449524,0.0008619348945824515
81,0.0321428725,0.05326093191319373,0.0008438318791996399
82,0.0325396981,0.05384634432330808,0.0009053671461806308
83,0.0329365236,0.05441877611614834,0.0007933078890067814
84,0.0333333492,0.054977085505639484,0.000997275201696901
85,0.0337301748,0.055428110701311054,0.0009048420813396289
86,0.0341270004,0.05600333803231142,0.0008901469893049796
87,0.034523826,0.056584351978966135,0.0009341046857142821
88,0.0349206516,0.05708543263238944,0.0009578877326100708
89,0.0353174772,0.05763492364961262,0.0008778191957738227
90,0.0357143027,0.058150346912089645,0.0010061099421894981
91,0.0361111283,0.05869758174426576,0.0009424662958376455
92,0.0365079539,0.059219407684137325,0.0009910933548831075
93,0.0369047795,0.05981871305086546,0.0009717742860513232
94,0.0373016051,0.06031460782720491,0.0010069769835353952
95,0.0376984307,0.06083865040594717,0.0010501929663856886
96,0.0380952563,0.0613617617671412,0.0010962050065356811
97,0.0384920818,0.061967325838815944,0.0010332688348234434
98,0.0388889074,0.06238951396150828,0.001039354429875905
